"condition_family","condition_label","age_category","measurement","mean_period_h","sem_h","total_n","observation_count"
"photoperiod","8:16 LD","young","Behavior","23.8425","0.0534","16","3"
"photoperiod","16:8 LD","young","Behavior","23.7011","0.0563","18","3"
"photoperiod","12:12 LD","young","Behavior","23.7533","0.0394","18","4"
"photoperiod","20:4 LD","young","Behavior","23.24","0.06","6","1"
"photoperiod","8:16 LD","old","Behavior","23.79","0.06","7","1"
"photoperiod","16:8 LD","old","Behavior","23.94","0.04","8","1"
"T-cycle","T20","young","Behavior","23.2","0.1","16","1"
"T-cycle","T28","young","Behavior","24.3","0.1","18","1"
"T-cycle","T20","adult","Behavior","23.4","0.2","6","1"
"T-cycle","T28","adult","Behavior","24.54","0.0854","9","2"
"T-cycle","T20","old","Behavior","23.8","0.04","5","1"
"T-cycle","T28","old","Behavior","24.5","0.1","5","1"
"T-cycle","T21","adult","Behavior","23","0.0696","44","2"
"T-cycle","T26","adult","Behavior","24.44","0.03","18","1"
"T-cycle","T22","adult","Behavior","22.75","0.14","18","1"
"T-cycle","T22","young","Behavior","22.9043","0.1443","21","3"
"T-cycle","T24","young","Behavior","23.93","0.09","","1"
"T-cycle","T26","young","Behavior","24.5","0.02","","1"
"T-cycle x photoperiod","SP T23","young","Behavior","23.25","0.09","8","1"
"T-cycle x photoperiod","SP T24","young","Behavior","23.81","0.05","12","1"
"T-cycle x photoperiod","SP T26","young","Behavior","24.27","0.1","14","1"
"T-cycle x photoperiod","LP T23","young","Behavior","22.94","0.11","10","1"
"T-cycle x photoperiod","LP T24","young","Behavior","23.65","0.07","12","1"
"T-cycle x photoperiod","LP T26","young","Behavior","24.08","0.14","6","1"
