"study","year","age_label","age_category","condition_family","condition_label","t_cycle","photoperiod","reporter_behavior","reporter_scn","scn_region","behavior_mean_period_h","behavior_sem_h","behavior_n","scn_mean_period_h","scn_sem_h","scn_n"
"Myung et al.","2015","8-13 wks","young","photoperiod","8:16 LD","","8:16 LD","Bmal1-ELuc","Bmal1-ELuc","D-SCN","23.97","0.04","10","23.53","0.44","8"
"Myung et al.","2015","8-13 wks","young","photoperiod","16:8 LD","","16:8 LD","Bmal1-ELuc","Bmal1-ELuc","D-SCN","23.59","0.05","13","22.45","0.24","6"
"Myung et al.","2015","8-13 wks","young","photoperiod","12:12 LD","","12:12 LD","Bmal1-ELuc","Bmal1-ELuc","D-SCN","23.70","0.10","4","22.62","0.28","6"
"Evans et al.","2013","7-9 wks","young","photoperiod","20:4 LD","","20:4 LD","PER2::LUC","PER2::LUC","D-SCN","23.24","0.06","6","23.78","0.16","11"
"Evans et al.","2013","7-9 wks","young","photoperiod","12:12 LD","","12:12 LD","PER2::LUC","PER2::LUC","D-SCN","23.86","0.02","6","23.75","0.15","6"
"Buijink et al.","2020","4-8 months","young","photoperiod","8:16 LD","","8:16 LD","PER2::LUC","PER2::LUC","P-SCN","23.63","0.06","6","24.38","0.21","5"
"Buijink et al.","2020","4-8 months","young","photoperiod","16:8 LD","","16:8 LD","PER2::LUC","PER2::LUC","P-SCN","23.99","0.01","5","23.94","0.12","5"
"Buijink et al.","2020","22-28 months","old","photoperiod","8:16 LD","","8:16 LD","PER2::LUC","PER2::LUC","P-SCN","23.79","0.06","7","24.46","0.10","11"
"Buijink et al.","2020","22-28 months","old","photoperiod","16:8 LD","","16:8 LD","PER2::LUC","PER2::LUC","P-SCN","23.94","0.04","8","24.27","0.31","12"
"Ciarleglio et al.","2010","post-natal day 21","young","photoperiod","16:8 LD","","16:8 LD","Per1::GFP","Per1::GFP","bulk","23.30","0.20","","23.40","0.32",""
"Ciarleglio et al.","2010","post-natal day 21","young","photoperiod","8:16 LD","","8:16 LD","Per1::GFP","Per1::GFP","bulk","24.00","0.16","","24.30","0.22",""
"Aton et al.","2004","3-13 wks","young","T-cycle","T20","T20","","NA","Per1-luc","bulk","23.20","0.10","16","23.80","0.10","10"
"Aton et al.","2004","3-13 wks","young","T-cycle","T28","T28","","NA","Per1-luc","bulk","24.30","0.10","18","23.50","0.10","13"
"Aton et al.","2004","16-32 wks","adult","T-cycle","T20","T20","","NA","Per1-luc","bulk","23.40","0.20","6","23.90","0.20","3"
"Aton et al.","2004","16-32 wks","adult","T-cycle","T28","T28","","NA","Per1-luc","bulk","24.20","0.02","3","23.60","0.10","3"
"Aton et al.","2004","32-64 wks","old","T-cycle","T20","T20","","NA","Per1-luc","bulk","23.80","0.04","5","24.50","0.90","3"
"Aton et al.","2004","32-64 wks","old","T-cycle","T28","T28","","NA","Per1-luc","bulk","24.50","0.10","5","24.10","0.20","5"
"Molyneux et al.","2008","15-30 wks","adult","T-cycle","T21","T21","","PER2::LUC","PER2::LUC","bulk","22.81","0.07","25","24.82","0.09","17"
"Molyneux et al.","2008","15-30 wks","adult","T-cycle","T26","T26","","PER2::LUC","PER2::LUC","bulk","24.44","0.03","18","23.60","0.14","10"
"Molyneux et al.","2008","15-30 wks","adult","T-cycle","T28","T28","","PER2::LUC","PER2::LUC","bulk","24.71","0.01","6","24.02","0.03","5"
"Azzi et al.","2017","4-6 wks","young","T-cycle","T22","T22","","PER2::LUC","PER2::LUC","bulk","22.83","0.10","","24.73","0.07",""
"Azzi et al.","2017","4-6 wks","young","T-cycle","T24","T24","","PER2::LUC","PER2::LUC","bulk","23.93","0.09","","24.16","0.16",""
"Azzi et al.","2017","4-6 wks","young","T-cycle","T26","T26","","PER2::LUC","PER2::LUC","bulk","24.50","0.02","","23.41","0.13",""
"Myung et al.","2012","3-4 wks","young","photoperiod","12:12 LD","","12:12 LD","Bmal1-ELuc","PER2::LUC","P-SCN","23.70","0.10","4","24.70","0.10","29"
"Myung et al.","2012","3-4 wks","young","photoperiod","12:12 LD","","12:12 LD","PER2::LUC","PER2::LUC","P-SCN","23.70","0.10","4","24.70","0.10","29"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","SP T23","T23","SP","PER2::LUC","PER2::LUC","bulk","23.25","0.09","8","23.99","0.22","8"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","SP T24","T24","SP","PER2::LUC","PER2::LUC","bulk","23.81","0.05","12","23.94","0.23","12"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","SP T26","T26","SP","PER2::LUC","PER2::LUC","bulk","24.27","0.10","14","23.08","0.38","14"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","LP T23","T23","LP","PER2::LUC","PER2::LUC","bulk","22.94","0.11","10","24.46","0.22","10"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","LP T24","T24","LP","PER2::LUC","PER2::LUC","bulk","23.65","0.07","12","23.71","0.16","12"
"Tackenberg et al.","2020","at least 3 weeks","young","T-cycle x photoperiod","LP T26","T26","LP","PER2::LUC","PER2::LUC","bulk","24.08","0.14","6","23.47","0.35","6"
