"condition_family","condition_label","age_category","reporter","measurement","mean_period_h","sem_h","total_n","observation_count"
"photoperiod","8:16 LD","young","Bmal1-ELuc","SCN","23.376","0.5437","15","2"
"photoperiod","16:8 LD","young","Bmal1-ELuc","SCN","22.03","0.9391","10","2"
"photoperiod","12:12 LD","young","Bmal1-ELuc","SCN","23.7433","0.3571","49","2"
"photoperiod","16:8 LD","young","PER2::LUC","SCN","23.94","0.1067","12","2"
"photoperiod","18:6 LD","young","PER2::LUC","SCN","23.31","0.09","7","1"
"photoperiod","20:4 LD","young","PER2::LUC","SCN","23.78","0.16","11","1"
"photoperiod","22:2 LD","young","PER2::LUC","SCN","24.2","0.39","12","1"
"photoperiod","12:12 LD","young","PER2::LUC","SCN","24.5371","0.1056","35","2"
"photoperiod","8:16 LD","young","PER2::LUC","SCN","24.38","0.21","5","1"
"photoperiod","8:16 LD","old","PER2::LUC","SCN","24.46","0.1","11","1"
"photoperiod","16:8 LD","old","PER2::LUC","SCN","24.27","0.31","12","1"
"photoperiod","16:8 LD","young","Per1::GFP","SCN","23.4","0.32","","1"
"photoperiod","8:16 LD","young","Per1::GFP","SCN","24.3","0.22","","1"
"photoperiod","12:12 LD","young","Per1::GFP","SCN","23.9","0.28","","1"
"T-cycle","T20","young","Per1-luc","SCN","23.8","0.1","10","1"
"T-cycle","T28","young","Per1-luc","SCN","23.5","0.1","13","1"
"T-cycle","T20","adult","Per1-luc","SCN","23.9","0.2","3","1"
"T-cycle","T28","adult","Per1-luc","SCN","23.6","0.1","3","1"
"T-cycle","T20","old","Per1-luc","SCN","24.5","0.9","3","1"
"T-cycle","T28","old","Per1-luc","SCN","24.1","0.2","5","1"
"T-cycle","T21","adult","PER2::LUC","SCN","24.82","0.09","17","1"
"T-cycle","T26","adult","PER2::LUC","SCN","23.6","0.14","10","1"
"T-cycle","T28","adult","PER2::LUC","SCN","24.02","0.03","5","1"
"T-cycle","T22","young","PER2::LUC","SCN","24.73","0.07","","1"
"T-cycle","T24","young","PER2::LUC","SCN","24.16","0.16","","1"
"T-cycle","T26","young","PER2::LUC","SCN","23.41","0.13","","1"
"T-cycle x photoperiod","SP T23","young","PER2::LUC","SCN","23.99","0.22","8","1"
"T-cycle x photoperiod","SP T24","young","PER2::LUC","SCN","23.94","0.23","12","1"
"T-cycle x photoperiod","SP T26","young","PER2::LUC","SCN","23.08","0.38","14","1"
"T-cycle x photoperiod","LP T23","young","PER2::LUC","SCN","24.46","0.22","10","1"
"T-cycle x photoperiod","LP T24","young","PER2::LUC","SCN","23.71","0.16","12","1"
"T-cycle x photoperiod","LP T26","young","PER2::LUC","SCN","23.47","0.35","6","1"
