condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.0,-0.01580347632895851,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0,-3.1257891772608346,stable,0.0001963492545675738,0.012424951558233189
SP,0.0001002004008016032,-0.0159319696425424,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0001002004008016032,-3.1256606839472507,stable,0.0001963492545675738,0.012424951558233189
SP,0.0002004008016032064,-0.01606256965592312,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0002004008016032064,-3.12553008393387,stable,0.0001963492545675738,0.012424951558233189
SP,0.0003006012024048096,-0.01619532860991102,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0003006012024048096,-3.1253973249798825,stable,0.0001963492545675738,0.012424951558233189
SP,0.0004008016032064128,-0.016330300487045868,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0004008016032064128,-3.1252623531027472,stable,0.0001963492545675738,0.012424951558233189
SP,0.000501002004008016,-0.016467541084791648,unstable,0.0001963492545675738,0.012424951558233189
SP,0.000501002004008016,-3.1251251125050015,stable,0.0001963492545675738,0.012424951558233189
SP,0.0006012024048096192,-0.016607108092465683,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0006012024048096192,-3.124985545497328,stable,0.0001963492545675738,0.012424951558233189
SP,0.0007014028056112224,-0.01674906117210373,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0007014028056112224,-3.1248435924176894,stable,0.0001963492545675738,0.012424951558233189
SP,0.0008016032064128256,-0.01689346204351816,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0008016032064128256,-3.1246991915462754,stable,0.0001963492545675738,0.012424951558233189
SP,0.0009018036072144289,-0.017040374573788153,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0009018036072144289,-3.1245522790160045,stable,0.0001963492545675738,0.012424951558233189
SP,0.001002004008016032,-0.01718986487146612,unstable,0.0001963492545675738,0.012424951558233189
SP,0.001002004008016032,-3.124402788718327,stable,0.0001963492545675738,0.012424951558233189
SP,0.0011022044088176352,-0.01734200138578501,unstable,0.0001963492545675738,0.012424951558233189
SP,0.0011022044088176352,-3.124250652204008,stable,0.0001963492545675738,0.012424951558233189
SP,0.0012024048096192384,-0.017496855011185808,unstable,0.0001963492545675738,0.012424951558233189
