condition,mechanism,driver,baseline_delta_omega_rad_h,baseline_K_effective_rad_h,baseline_locking_ratio,numerical_dphi_d_driver_h,reduced_analytic_dphi_d_driver_h,numerical_dperiod_d_driver_h2_per_rad,reduced_analytic_dperiod_d_driver_h2_per_rad,reduced_derivative_defined
SP,adaptive period,Delta omega,0.00019634925456751828,0.0035750484417668123,0.05492212420777191,79.66512218256801,280.1393203106363,-0.0,-408.6540459071502,True
LP,adaptive period,Delta omega,0.002820814296992824,0.0035750484417668123,0.789028272746637,80.14943128467125,455.29967249559246,-163.52085077355363,-374.37704678271,True
LD,adaptive period,Delta omega,0.0014997680654259549,0.0035750484417668123,0.41950985835726456,79.74472229647216,308.14238407580643,0.0,-391.06771827149515,True
T22,adaptive period,Delta omega,-0.004295898269084941,0.0035750484417668123,1.2016335831695417,79.86293284303036,nan,-155.26847739784887,nan,False
T26,adaptive period,Delta omega,0.007324031689690758,0.0035750484417668123,2.04865243338386,82.84332013501283,nan,-93.99593426445804,nan,False
SP,adaptive coupling,K effective,0.0008042915614839274,0.006535885972500361,0.12305777133627664,-2.055912644330339,-18.97221502258705,0.0,21.12584749233914,True
LP,adaptive coupling,K effective,0.0008042915614839274,-0.0053820232469736565,0.14944037299284899,-8.89603940246858,nan,46.70509251778554,nan,False
LD,adaptive coupling,K effective,0.0008042915614839274,0.0004334535160238832,1.8555428246649892,-4.105716611437958,nan,135.02272879799557,nan,False
T22,adaptive coupling,K effective,0.0008042915614839274,0.027805347636621333,0.02892578693835953,-0.690735387911628,-1.0407313023092275,0.0,1.1776773858133125,True
T26,adaptive coupling,K effective,0.0008042915614839274,-0.024937191874212436,0.03225269170405854,29.588419460269982,nan,-44.936203176434304,nan,False
